T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26
plan,emotion,discuss,consensus,coregulate,emotion,consensus,consensus,plan,consensus,emotion,cohesion,consensus,discuss,cohesion,consensus,consensus,emotion,plan,consensus,plan,plan,consensus,plan,,
monitor,emotion,consensus,plan,consensus,consensus,plan,plan,coregulate,consensus,coregulate,plan,consensus,coregulate,emotion,consensus,,,,,,,,,,
cohesion,consensus,monitor,plan,plan,consensus,plan,plan,,,,,,,,,,,,,,,,,,
plan,plan,plan,,,,,,,,,,,,,,,,,,,,,,,
plan,plan,plan,cohesion,emotion,consensus,plan,plan,cohesion,consensus,plan,plan,emotion,cohesion,consensus,discuss,synthesis,consensus,plan,,,,,,,
plan,coregulate,emotion,,,,,,,,,,,,,,,,,,,,,,,
synthesis,consensus,plan,emotion,consensus,discuss,coregulate,cohesion,,,,,,,,,,,,,,,,,,
monitor,emotion,consensus,plan,consensus,plan,consensus,emotion,adapt,consensus,plan,consensus,plan,emotion,cohesion,plan,discuss,,,,,,,,,
consensus,discuss,synthesis,,,,,,,,,,,,,,,,,,,,,,,
emotion,plan,plan,plan,consensus,discuss,discuss,synthesis,plan,monitor,consensus,discuss,consensus,discuss,discuss,discuss,consensus,emotion,emotion,cohesion,cohesion,,,,,
emotion,consensus,plan,monitor,monitor,consensus,coregulate,plan,emotion,consensus,coregulate,discuss,consensus,coregulate,cohesion,coregulate,discuss,consensus,discuss,coregulate,,,,,,
monitor,emotion,cohesion,consensus,plan,consensus,consensus,emotion,discuss,consensus,plan,consensus,monitor,discuss,consensus,plan,coregulate,plan,plan,emotion,cohesion,,,,,
consensus,emotion,discuss,discuss,synthesis,consensus,coregulate,consensus,emotion,cohesion,consensus,plan,monitor,discuss,emotion,cohesion,consensus,discuss,consensus,plan,emotion,cohesion,consensus,,,
plan,consensus,plan,consensus,coregulate,monitor,plan,consensus,discuss,discuss,coregulate,emotion,cohesion,coregulate,synthesis,emotion,consensus,plan,monitor,plan,plan,consensus,discuss,consensus,,
monitor,consensus,plan,discuss,consensus,consensus,discuss,synthesis,consensus,cohesion,consensus,discuss,consensus,emotion,consensus,plan,consensus,plan,discuss,coregulate,cohesion,consensus,coregulate,,,
discuss,discuss,consensus,discuss,synthesis,consensus,adapt,cohesion,consensus,consensus,discuss,emotion,consensus,consensus,emotion,,,,,,,,,,,
discuss,consensus,consensus,discuss,cohesion,consensus,coregulate,cohesion,consensus,discuss,discuss,consensus,plan,emotion,cohesion,consensus,plan,consensus,plan,emotion,consensus,plan,,,,
discuss,synthesis,consensus,plan,discuss,discuss,consensus,coregulate,plan,emotion,plan,,,,,,,,,,,,,,,
cohesion,consensus,plan,emotion,cohesion,consensus,cohesion,plan,plan,consensus,plan,plan,coregulate,plan,emotion,consensus,emotion,cohesion,plan,discuss,discuss,discuss,,,,
consensus,emotion,,,,,,,,,,,,,,,,,,,,,,,,
consensus,emotion,consensus,consensus,consensus,discuss,consensus,plan,emotion,consensus,coregulate,monitor,discuss,coregulate,plan,consensus,discuss,consensus,coregulate,emotion,discuss,consensus,coregulate,plan,monitor,emotion
emotion,cohesion,plan,consensus,emotion,discuss,coregulate,monitor,synthesis,consensus,coregulate,plan,consensus,plan,emotion,coregulate,emotion,consensus,discuss,consensus,discuss,consensus,,,,
consensus,synthesis,adapt,,,,,,,,,,,,,,,,,,,,,,,
discuss,discuss,consensus,plan,plan,plan,consensus,plan,consensus,discuss,consensus,coregulate,plan,consensus,coregulate,discuss,,,,,,,,,,
emotion,consensus,coregulate,emotion,plan,consensus,discuss,consensus,plan,plan,emotion,cohesion,plan,consensus,plan,emotion,cohesion,plan,emotion,cohesion,consensus,emotion,emotion,,,
monitor,plan,coregulate,consensus,plan,coregulate,emotion,cohesion,consensus,consensus,plan,consensus,,,,,,,,,,,,,,
discuss,coregulate,discuss,adapt,consensus,discuss,cohesion,adapt,cohesion,emotion,consensus,plan,monitor,discuss,consensus,plan,,,,,,,,,,
plan,plan,adapt,consensus,discuss,consensus,plan,consensus,discuss,consensus,plan,plan,monitor,discuss,cohesion,consensus,discuss,synthesis,consensus,emotion,consensus,cohesion,emotion,cohesion,consensus,
discuss,consensus,emotion,consensus,plan,discuss,emotion,consensus,coregulate,,,,,,,,,,,,,,,,,
consensus,plan,discuss,consensus,plan,plan,plan,consensus,plan,plan,monitor,consensus,coregulate,coregulate,adapt,,,,,,,,,,,
consensus,plan,consensus,coregulate,plan,monitor,consensus,plan,plan,emotion,discuss,consensus,discuss,consensus,plan,,,,,,,,,,,
cohesion,consensus,plan,emotion,cohesion,emotion,consensus,discuss,consensus,plan,plan,consensus,coregulate,plan,plan,cohesion,coregulate,discuss,emotion,plan,,,,,,
discuss,emotion,cohesion,emotion,consensus,coregulate,discuss,synthesis,adapt,consensus,coregulate,plan,consensus,consensus,consensus,discuss,consensus,plan,cohesion,consensus,emotion,consensus,,,,
plan,consensus,discuss,discuss,consensus,adapt,,,,,,,,,,,,,,,,,,,,
plan,consensus,discuss,emotion,cohesion,plan,plan,consensus,plan,monitor,plan,discuss,coregulate,emotion,,,,,,,,,,,,
monitor,cohesion,,,,,,,,,,,,,,,,,,,,,,,,
monitor,monitor,consensus,plan,plan,monitor,discuss,emotion,,,,,,,,,,,,,,,,,,
emotion,cohesion,consensus,discuss,discuss,consensus,plan,monitor,coregulate,monitor,discuss,coregulate,plan,cohesion,consensus,discuss,cohesion,emotion,cohesion,plan,consensus,plan,plan,consensus,,
consensus,coregulate,plan,emotion,discuss,consensus,plan,plan,coregulate,plan,plan,discuss,discuss,monitor,discuss,discuss,consensus,plan,emotion,discuss,synthesis,consensus,discuss,consensus,,
emotion,cohesion,,,,,,,,,,,,,,,,,,,,,,,,
plan,monitor,consensus,,,,,,,,,,,,,,,,,,,,,,,
synthesis,consensus,discuss,consensus,,,,,,,,,,,,,,,,,,,,,,
emotion,emotion,consensus,plan,plan,monitor,discuss,discuss,discuss,synthesis,consensus,plan,plan,discuss,plan,monitor,consensus,coregulate,plan,emotion,discuss,,,,,
discuss,discuss,,,,,,,,,,,,,,,,,,,,,,,,
consensus,emotion,consensus,plan,plan,plan,,,,,,,,,,,,,,,,,,,,
monitor,plan,plan,discuss,consensus,discuss,discuss,consensus,discuss,consensus,plan,plan,emotion,consensus,plan,plan,plan,consensus,plan,plan,discuss,,,,,
cohesion,consensus,plan,discuss,consensus,consensus,plan,consensus,discuss,coregulate,monitor,adapt,consensus,cohesion,discuss,consensus,plan,consensus,discuss,discuss,consensus,cohesion,consensus,plan,plan,emotion
consensus,plan,plan,emotion,discuss,emotion,cohesion,consensus,plan,emotion,plan,plan,,,,,,,,,,,,,,
plan,discuss,cohesion,consensus,discuss,synthesis,consensus,plan,emotion,discuss,discuss,discuss,,,,,,,,,,,,,,
monitor,emotion,emotion,emotion,consensus,,,,,,,,,,,,,,,,,,,,,
discuss,discuss,consensus,discuss,discuss,discuss,consensus,discuss,discuss,emotion,consensus,coregulate,monitor,synthesis,adapt,consensus,discuss,synthesis,adapt,,,,,,,
plan,emotion,cohesion,consensus,plan,plan,emotion,consensus,plan,consensus,plan,plan,discuss,cohesion,consensus,discuss,emotion,,,,,,,,,
cohesion,plan,plan,consensus,discuss,discuss,,,,,,,,,,,,,,,,,,,,
discuss,consensus,monitor,discuss,synthesis,plan,plan,discuss,synthesis,plan,monitor,discuss,emotion,cohesion,consensus,plan,monitor,,,,,,,,,
plan,consensus,discuss,synthesis,consensus,discuss,plan,cohesion,,,,,,,,,,,,,,,,,,
cohesion,coregulate,emotion,cohesion,,,,,,,,,,,,,,,,,,,,,,
cohesion,consensus,plan,consensus,plan,emotion,discuss,consensus,plan,consensus,coregulate,emotion,cohesion,emotion,cohesion,coregulate,plan,plan,plan,,,,,,,
emotion,consensus,discuss,,,,,,,,,,,,,,,,,,,,,,,
monitor,consensus,plan,monitor,plan,plan,emotion,consensus,cohesion,coregulate,emotion,discuss,discuss,adapt,cohesion,plan,plan,consensus,plan,plan,,,,,,
plan,plan,plan,,,,,,,,,,,,,,,,,,,,,,,
plan,consensus,emotion,emotion,cohesion,emotion,consensus,,,,,,,,,,,,,,,,,,,
discuss,adapt,consensus,coregulate,discuss,consensus,,,,,,,,,,,,,,,,,,,,
emotion,consensus,discuss,coregulate,plan,consensus,discuss,consensus,discuss,discuss,synthesis,consensus,discuss,emotion,consensus,discuss,synthesis,plan,plan,emotion,plan,consensus,plan,consensus,plan,plan
cohesion,consensus,cohesion,consensus,plan,plan,plan,plan,plan,plan,emotion,consensus,plan,emotion,consensus,plan,consensus,plan,emotion,cohesion,,,,,,
consensus,coregulate,discuss,consensus,plan,emotion,cohesion,consensus,emotion,consensus,discuss,consensus,plan,monitor,discuss,consensus,plan,consensus,discuss,coregulate,,,,,,
cohesion,plan,plan,,,,,,,,,,,,,,,,,,,,,,,
plan,discuss,synthesis,plan,consensus,coregulate,plan,monitor,plan,coregulate,consensus,emotion,cohesion,consensus,adapt,cohesion,consensus,plan,consensus,plan,plan,,,,,
monitor,discuss,consensus,discuss,consensus,emotion,consensus,coregulate,cohesion,emotion,consensus,discuss,emotion,consensus,coregulate,plan,,,,,,,,,,
monitor,monitor,plan,consensus,,,,,,,,,,,,,,,,,,,,,,
plan,plan,plan,plan,monitor,plan,emotion,consensus,,,,,,,,,,,,,,,,,,
consensus,coregulate,emotion,cohesion,consensus,plan,plan,monitor,discuss,consensus,consensus,,,,,,,,,,,,,,,
discuss,consensus,emotion,discuss,consensus,plan,consensus,monitor,discuss,cohesion,consensus,coregulate,monitor,consensus,discuss,emotion,consensus,plan,emotion,discuss,,,,,,
consensus,discuss,consensus,plan,synthesis,consensus,discuss,consensus,emotion,cohesion,consensus,discuss,emotion,discuss,discuss,plan,emotion,,,,,,,,,
plan,consensus,plan,coregulate,monitor,discuss,,,,,,,,,,,,,,,,,,,,
discuss,emotion,consensus,plan,discuss,plan,plan,consensus,plan,plan,discuss,synthesis,consensus,discuss,synthesis,consensus,emotion,plan,emotion,consensus,coregulate,plan,,,,
cohesion,consensus,discuss,consensus,discuss,discuss,discuss,discuss,consensus,discuss,emotion,consensus,discuss,coregulate,consensus,plan,consensus,coregulate,monitor,discuss,synthesis,adapt,consensus,coregulate,emotion,cohesion
monitor,plan,consensus,plan,consensus,consensus,coregulate,emotion,consensus,plan,cohesion,consensus,plan,plan,consensus,plan,coregulate,emotion,,,,,,,,
cohesion,plan,consensus,plan,consensus,monitor,discuss,consensus,consensus,consensus,discuss,emotion,discuss,consensus,plan,consensus,plan,consensus,discuss,monitor,cohesion,,,,,
adapt,consensus,plan,plan,emotion,cohesion,consensus,consensus,plan,emotion,consensus,emotion,cohesion,consensus,consensus,consensus,discuss,consensus,emotion,cohesion,plan,consensus,discuss,discuss,emotion,
plan,consensus,plan,,,,,,,,,,,,,,,,,,,,,,,
monitor,discuss,consensus,discuss,synthesis,consensus,plan,consensus,consensus,consensus,coregulate,consensus,plan,plan,,,,,,,,,,,,
emotion,consensus,coregulate,discuss,consensus,discuss,discuss,discuss,emotion,plan,,,,,,,,,,,,,,,,
discuss,synthesis,adapt,,,,,,,,,,,,,,,,,,,,,,,
emotion,cohesion,consensus,plan,,,,,,,,,,,,,,,,,,,,,,
consensus,plan,consensus,emotion,coregulate,discuss,synthesis,consensus,plan,plan,plan,discuss,consensus,plan,plan,monitor,discuss,consensus,plan,emotion,consensus,monitor,plan,emotion,,
monitor,coregulate,consensus,emotion,consensus,coregulate,coregulate,emotion,cohesion,coregulate,discuss,consensus,plan,coregulate,monitor,plan,plan,consensus,plan,plan,plan,adapt,consensus,plan,,
monitor,plan,emotion,cohesion,consensus,consensus,consensus,discuss,consensus,emotion,discuss,consensus,plan,,,,,,,,,,,,,
emotion,consensus,plan,plan,monitor,discuss,emotion,discuss,synthesis,consensus,plan,consensus,cohesion,consensus,discuss,consensus,,,,,,,,,,
discuss,consensus,discuss,consensus,consensus,plan,cohesion,cohesion,emotion,plan,plan,emotion,discuss,consensus,discuss,coregulate,discuss,,,,,,,,,
monitor,plan,plan,emotion,consensus,plan,plan,discuss,consensus,monitor,consensus,plan,plan,consensus,,,,,,,,,,,,
emotion,cohesion,consensus,discuss,consensus,plan,discuss,consensus,coregulate,adapt,,,,,,,,,,,,,,,,
cohesion,consensus,cohesion,plan,plan,plan,plan,emotion,cohesion,synthesis,plan,discuss,consensus,consensus,discuss,consensus,emotion,consensus,plan,consensus,coregulate,discuss,,,,
plan,emotion,consensus,plan,discuss,consensus,emotion,plan,emotion,monitor,,,,,,,,,,,,,,,,
consensus,coregulate,plan,emotion,cohesion,consensus,plan,consensus,plan,plan,emotion,plan,emotion,cohesion,plan,synthesis,plan,,,,,,,,,
plan,consensus,plan,emotion,cohesion,consensus,coregulate,discuss,consensus,emotion,consensus,consensus,synthesis,coregulate,discuss,consensus,monitor,emotion,plan,discuss,synthesis,consensus,emotion,plan,consensus,
consensus,consensus,coregulate,emotion,cohesion,emotion,cohesion,consensus,plan,plan,consensus,plan,coregulate,emotion,cohesion,consensus,discuss,,,,,,,,,
monitor,discuss,consensus,,,,,,,,,,,,,,,,,,,,,,,
consensus,plan,emotion,consensus,discuss,consensus,consensus,plan,consensus,plan,monitor,discuss,consensus,discuss,consensus,consensus,plan,emotion,emotion,,,,,,,
discuss,consensus,discuss,discuss,consensus,consensus,plan,emotion,cohesion,cohesion,cohesion,consensus,emotion,cohesion,consensus,coregulate,,,,,,,,,,
monitor,discuss,consensus,coregulate,plan,plan,emotion,cohesion,consensus,,,,,,,,,,,,,,,,,
synthesis,consensus,emotion,,,,,,,,,,,,,,,,,,,,,,,
discuss,consensus,discuss,cohesion,monitor,discuss,discuss,consensus,,,,,,,,,,,,,,,,,,
cohesion,emotion,consensus,coregulate,discuss,plan,monitor,discuss,consensus,discuss,,,,,,,,,,,,,,,,
consensus,emotion,cohesion,consensus,coregulate,discuss,,,,,,,,,,,,,,,,,,,,
emotion,cohesion,consensus,coregulate,emotion,cohesion,plan,plan,monitor,consensus,plan,consensus,monitor,plan,plan,plan,consensus,coregulate,consensus,discuss,consensus,,,,,
emotion,cohesion,plan,monitor,coregulate,discuss,emotion,plan,consensus,coregulate,monitor,plan,emotion,,,,,,,,,,,,,
consensus,plan,plan,consensus,discuss,consensus,plan,consensus,cohesion,consensus,plan,plan,consensus,consensus,discuss,consensus,coregulate,plan,emotion,emotion,cohesion,,,,,
plan,emotion,discuss,monitor,discuss,consensus,coregulate,plan,consensus,plan,plan,coregulate,plan,consensus,discuss,emotion,plan,consensus,monitor,discuss,consensus,plan,cohesion,consensus,discuss,
plan,plan,consensus,discuss,emotion,consensus,plan,plan,consensus,,,,,,,,,,,,,,,,,
emotion,consensus,plan,emotion,consensus,consensus,monitor,emotion,consensus,discuss,consensus,discuss,consensus,plan,cohesion,plan,monitor,consensus,discuss,consensus,discuss,,,,,
emotion,cohesion,plan,plan,emotion,emotion,consensus,plan,consensus,plan,,,,,,,,,,,,,,,,
emotion,consensus,plan,plan,synthesis,consensus,consensus,monitor,discuss,coregulate,plan,consensus,emotion,plan,emotion,cohesion,plan,plan,consensus,discuss,consensus,,,,,
monitor,consensus,plan,consensus,consensus,,,,,,,,,,,,,,,,,,,,,
discuss,discuss,consensus,plan,monitor,consensus,plan,consensus,discuss,plan,consensus,plan,plan,emotion,discuss,emotion,discuss,emotion,plan,consensus,plan,consensus,cohesion,emotion,cohesion,coregulate
plan,consensus,discuss,consensus,plan,coregulate,plan,emotion,consensus,plan,emotion,plan,discuss,consensus,plan,consensus,discuss,consensus,cohesion,,,,,,,
plan,discuss,monitor,discuss,discuss,emotion,consensus,discuss,consensus,discuss,coregulate,discuss,synthesis,adapt,consensus,discuss,consensus,,,,,,,,,
consensus,discuss,synthesis,consensus,plan,plan,plan,emotion,cohesion,plan,plan,consensus,plan,emotion,consensus,,,,,,,,,,,
cohesion,consensus,consensus,discuss,coregulate,emotion,cohesion,coregulate,plan,consensus,discuss,coregulate,plan,plan,consensus,discuss,consensus,plan,emotion,cohesion,emotion,discuss,consensus,discuss,consensus,
consensus,coregulate,adapt,monitor,consensus,discuss,discuss,synthesis,,,,,,,,,,,,,,,,,,
plan,plan,discuss,emotion,consensus,cohesion,consensus,plan,consensus,discuss,synthesis,emotion,consensus,consensus,,,,,,,,,,,,
plan,emotion,,,,,,,,,,,,,,,,,,,,,,,,
plan,monitor,consensus,cohesion,coregulate,monitor,discuss,consensus,emotion,monitor,plan,plan,plan,plan,consensus,coregulate,plan,plan,consensus,coregulate,plan,emotion,cohesion,consensus,,
monitor,coregulate,discuss,consensus,coregulate,consensus,discuss,consensus,coregulate,emotion,cohesion,discuss,emotion,cohesion,,,,,,,,,,,,
emotion,cohesion,coregulate,consensus,discuss,emotion,cohesion,coregulate,plan,coregulate,,,,,,,,,,,,,,,,
plan,consensus,coregulate,plan,consensus,coregulate,emotion,cohesion,consensus,consensus,plan,consensus,plan,consensus,discuss,discuss,,,,,,,,,,
consensus,coregulate,discuss,coregulate,discuss,emotion,consensus,monitor,discuss,synthesis,consensus,plan,plan,emotion,plan,emotion,consensus,plan,coregulate,monitor,discuss,consensus,coregulate,emotion,,
consensus,plan,consensus,plan,plan,plan,emotion,plan,plan,plan,consensus,coregulate,plan,coregulate,plan,emotion,cohesion,consensus,,,,,,,,
plan,discuss,consensus,plan,consensus,emotion,consensus,emotion,cohesion,consensus,plan,plan,discuss,discuss,consensus,cohesion,consensus,coregulate,plan,,,,,,,
plan,coregulate,cohesion,coregulate,,,,,,,,,,,,,,,,,,,,,,
emotion,consensus,discuss,discuss,discuss,discuss,plan,,,,,,,,,,,,,,,,,,,
discuss,cohesion,,,,,,,,,,,,,,,,,,,,,,,,
consensus,coregulate,monitor,plan,plan,plan,plan,plan,plan,consensus,plan,plan,monitor,emotion,cohesion,consensus,emotion,emotion,cohesion,emotion,,,,,,
consensus,discuss,synthesis,,,,,,,,,,,,,,,,,,,,,,,
discuss,synthesis,plan,emotion,emotion,emotion,consensus,plan,cohesion,emotion,discuss,cohesion,consensus,coregulate,consensus,discuss,consensus,plan,plan,consensus,discuss,consensus,,,,
plan,cohesion,consensus,consensus,plan,plan,consensus,plan,plan,consensus,consensus,synthesis,emotion,consensus,emotion,consensus,plan,consensus,coregulate,plan,plan,monitor,discuss,emotion,,
plan,consensus,plan,monitor,discuss,plan,plan,consensus,plan,monitor,plan,plan,plan,consensus,,,,,,,,,,,,
emotion,monitor,consensus,plan,consensus,discuss,cohesion,,,,,,,,,,,,,,,,,,,
consensus,discuss,emotion,emotion,cohesion,plan,emotion,discuss,coregulate,,,,,,,,,,,,,,,,,
consensus,coregulate,emotion,plan,consensus,coregulate,emotion,cohesion,consensus,plan,consensus,coregulate,plan,plan,consensus,discuss,,,,,,,,,,
emotion,cohesion,consensus,coregulate,plan,plan,emotion,discuss,consensus,,,,,,,,,,,,,,,,,
synthesis,consensus,consensus,consensus,monitor,discuss,coregulate,discuss,consensus,plan,emotion,consensus,emotion,consensus,plan,plan,plan,consensus,coregulate,emotion,discuss,discuss,emotion,consensus,plan,
discuss,emotion,discuss,discuss,consensus,plan,consensus,consensus,plan,consensus,plan,consensus,plan,consensus,consensus,cohesion,consensus,discuss,,,,,,,,
monitor,discuss,consensus,,,,,,,,,,,,,,,,,,,,,,,
cohesion,consensus,synthesis,consensus,plan,plan,consensus,plan,emotion,cohesion,consensus,consensus,discuss,synthesis,consensus,plan,plan,plan,plan,plan,cohesion,coregulate,discuss,cohesion,consensus,
cohesion,consensus,emotion,consensus,discuss,consensus,discuss,,,,,,,,,,,,,,,,,,,
plan,emotion,cohesion,emotion,adapt,consensus,discuss,discuss,discuss,discuss,emotion,consensus,discuss,synthesis,consensus,coregulate,discuss,cohesion,,,,,,,,
discuss,consensus,plan,consensus,plan,plan,emotion,discuss,emotion,plan,emotion,discuss,consensus,consensus,plan,plan,consensus,plan,plan,plan,consensus,,,,,
discuss,consensus,discuss,synthesis,consensus,coregulate,monitor,discuss,consensus,discuss,emotion,cohesion,consensus,consensus,consensus,emotion,,,,,,,,,,
emotion,cohesion,consensus,discuss,consensus,coregulate,discuss,consensus,plan,emotion,discuss,consensus,coregulate,consensus,emotion,discuss,,,,,,,,,,
plan,plan,plan,consensus,,,,,,,,,,,,,,,,,,,,,,
emotion,monitor,consensus,plan,consensus,discuss,plan,consensus,emotion,plan,plan,emotion,cohesion,emotion,consensus,consensus,cohesion,,,,,,,,,
emotion,plan,cohesion,emotion,discuss,consensus,coregulate,emotion,,,,,,,,,,,,,,,,,,
monitor,emotion,discuss,discuss,consensus,discuss,consensus,discuss,discuss,cohesion,consensus,discuss,,,,,,,,,,,,,,
plan,consensus,plan,consensus,monitor,consensus,consensus,plan,plan,consensus,,,,,,,,,,,,,,,,
plan,consensus,plan,consensus,coregulate,emotion,consensus,monitor,plan,plan,,,,,,,,,,,,,,,,
consensus,plan,cohesion,emotion,cohesion,emotion,consensus,discuss,discuss,discuss,synthesis,adapt,consensus,discuss,consensus,discuss,discuss,monitor,synthesis,consensus,coregulate,emotion,plan,monitor,discuss,
plan,emotion,cohesion,consensus,coregulate,discuss,consensus,plan,consensus,plan,cohesion,consensus,discuss,adapt,consensus,discuss,coregulate,consensus,,,,,,,,
emotion,consensus,emotion,consensus,consensus,coregulate,discuss,consensus,plan,plan,monitor,coregulate,discuss,discuss,discuss,consensus,discuss,consensus,coregulate,,,,,,,
plan,consensus,consensus,,,,,,,,,,,,,,,,,,,,,,,
consensus,synthesis,consensus,emotion,consensus,plan,emotion,emotion,consensus,discuss,discuss,discuss,consensus,discuss,discuss,emotion,consensus,discuss,synthesis,,,,,,,
cohesion,monitor,discuss,consensus,plan,consensus,coregulate,monitor,consensus,plan,plan,emotion,cohesion,,,,,,,,,,,,,
cohesion,cohesion,cohesion,plan,consensus,cohesion,consensus,plan,consensus,discuss,synthesis,consensus,plan,plan,consensus,plan,,,,,,,,,,
monitor,emotion,plan,emotion,cohesion,consensus,consensus,plan,consensus,discuss,consensus,plan,plan,plan,consensus,plan,cohesion,consensus,emotion,,,,,,,
cohesion,consensus,plan,consensus,coregulate,cohesion,consensus,synthesis,consensus,,,,,,,,,,,,,,,,,
consensus,emotion,adapt,consensus,coregulate,plan,plan,emotion,,,,,,,,,,,,,,,,,,
emotion,cohesion,consensus,plan,plan,,,,,,,,,,,,,,,,,,,,,
consensus,emotion,cohesion,emotion,cohesion,consensus,discuss,synthesis,consensus,plan,consensus,consensus,,,,,,,,,,,,,,
consensus,plan,discuss,consensus,consensus,coregulate,discuss,consensus,plan,discuss,consensus,discuss,consensus,plan,consensus,discuss,discuss,consensus,discuss,emotion,consensus,plan,consensus,plan,emotion,monitor
plan,consensus,plan,plan,,,,,,,,,,,,,,,,,,,,,,
discuss,consensus,plan,plan,consensus,plan,discuss,synthesis,adapt,monitor,discuss,consensus,synthesis,,,,,,,,,,,,,
discuss,consensus,discuss,consensus,plan,consensus,consensus,discuss,cohesion,consensus,plan,cohesion,consensus,plan,consensus,consensus,,,,,,,,,,
discuss,consensus,monitor,,,,,,,,,,,,,,,,,,,,,,,
monitor,discuss,discuss,synthesis,,,,,,,,,,,,,,,,,,,,,,
consensus,discuss,consensus,plan,plan,emotion,,,,,,,,,,,,,,,,,,,,
consensus,plan,,,,,,,,,,,,,,,,,,,,,,,,
consensus,plan,emotion,,,,,,,,,,,,,,,,,,,,,,,
discuss,synthesis,cohesion,coregulate,monitor,plan,monitor,consensus,discuss,consensus,plan,monitor,emotion,cohesion,consensus,discuss,discuss,consensus,discuss,emotion,consensus,plan,plan,,,
emotion,consensus,,,,,,,,,,,,,,,,,,,,,,,,
monitor,coregulate,discuss,consensus,monitor,cohesion,consensus,coregulate,cohesion,,,,,,,,,,,,,,,,,
consensus,discuss,consensus,plan,plan,plan,plan,plan,plan,consensus,plan,discuss,emotion,,,,,,,,,,,,,
monitor,monitor,plan,plan,monitor,discuss,consensus,plan,discuss,emotion,plan,plan,emotion,consensus,,,,,,,,,,,,
discuss,emotion,discuss,consensus,plan,emotion,cohesion,consensus,plan,emotion,,,,,,,,,,,,,,,,
discuss,cohesion,emotion,,,,,,,,,,,,,,,,,,,,,,,
cohesion,consensus,consensus,discuss,consensus,coregulate,discuss,consensus,discuss,emotion,plan,cohesion,consensus,discuss,coregulate,discuss,discuss,consensus,plan,consensus,discuss,synthesis,consensus,,,
monitor,discuss,,,,,,,,,,,,,,,,,,,,,,,,
consensus,discuss,monitor,plan,plan,consensus,discuss,emotion,emotion,cohesion,consensus,plan,emotion,,,,,,,,,,,,,
plan,consensus,plan,plan,consensus,plan,emotion,emotion,emotion,discuss,emotion,cohesion,monitor,discuss,cohesion,,,,,,,,,,,
emotion,cohesion,consensus,plan,plan,discuss,,,,,,,,,,,,,,,,,,,,
consensus,plan,consensus,plan,coregulate,monitor,plan,emotion,consensus,plan,discuss,discuss,consensus,plan,consensus,discuss,discuss,synthesis,consensus,plan,emotion,cohesion,,,,
monitor,discuss,cohesion,cohesion,coregulate,plan,cohesion,plan,emotion,plan,consensus,,,,,,,,,,,,,,,
