Actor,Achiever,Group,Course,Time,Action
18,High,2.0,A,2025-01-01 09:15:06.076192141,plan
19,High,2.0,A,2025-01-01 08:46:48.076192141,consensus
20,High,2.0,A,2025-01-01 08:46:42.076192141,plan
20,High,2.0,A,2025-01-01 09:07:43.076192141,plan
21,High,3.0,A,2025-01-01 10:25:42.175689697,consensus
21,High,3.0,A,2025-01-01 10:38:02.175689697,plan
21,High,3.0,A,2025-01-01 11:04:05.175689697,discuss
21,High,3.0,A,2025-01-01 11:30:46.175689697,plan
21,High,3.0,A,2025-01-01 11:47:14.175689697,plan
22,High,3.0,A,2025-01-01 10:25:01.175689697,consensus
22,High,3.0,A,2025-01-01 10:39:43.175689697,consensus
22,High,3.0,A,2025-01-01 11:02:08.175689697,emotion
23,High,3.0,A,2025-01-01 10:28:44.175689697,plan
24,High,3.0,A,2025-01-01 10:12:15.175689697,plan
25,High,3.0,A,2025-01-01 10:21:22.175689697,plan
25,High,3.0,A,2025-01-01 10:38:55.175689697,plan
25,High,3.0,A,2025-01-01 11:08:16.175689697,emotion
25,High,3.0,A,2025-01-01 11:31:54.175689697,consensus
27,High,3.0,A,2025-01-01 10:09:13.175689697,synthesis
27,High,3.0,A,2025-01-01 10:30:11.175689697,discuss
28,High,3.0,A,2025-01-01 10:26:44.175689697,consensus
28,High,3.0,A,2025-01-01 11:02:07.175689697,emotion
28,High,3.0,A,2025-01-01 11:22:37.175689697,plan
29,High,3.0,A,2025-01-01 10:08:59.175689697,consensus
30,High,3.0,A,2025-01-01 10:19:44.175689697,plan
30,High,3.0,A,2025-01-01 10:46:06.175689697,synthesis
30,High,3.0,A,2025-01-01 11:02:17.175689697,consensus
30,High,3.0,A,2025-01-01 11:33:10.175689697,emotion
31,High,4.0,A,2025-01-01 08:10:52.075222492,consensus
31,High,4.0,A,2025-01-01 08:40:58.075222492,coregulate
31,High,4.0,A,2025-01-01 09:00:01.075222492,discuss
31,High,4.0,A,2025-01-01 09:13:00.075222492,discuss
32,High,4.0,A,2025-01-01 08:18:43.075222492,emotion
32,High,4.0,A,2025-01-01 08:41:02.075222492,consensus
32,High,4.0,A,2025-01-01 09:05:07.075222492,consensus
32,High,4.0,A,2025-01-01 09:32:04.075222492,coregulate
33,High,4.0,A,2025-01-01 08:09:47.075222492,consensus
33,High,4.0,A,2025-01-01 08:35:36.075222492,consensus
33,High,4.0,A,2025-01-01 08:47:20.075222492,consensus
33,High,4.0,A,2025-01-01 09:12:40.075222492,cohesion
33,High,4.0,A,2025-01-01 09:33:03.075222492,emotion
34,High,4.0,A,2025-01-01 08:14:18.075222492,plan
34,High,4.0,A,2025-01-01 08:42:30.075222492,consensus
34,High,4.0,A,2025-01-01 08:55:00.075222492,cohesion
34,High,4.0,A,2025-01-01 09:15:44.075222492,plan
34,High,4.0,A,2025-01-01 09:43:24.075222492,discuss
35,High,4.0,A,2025-01-01 08:17:31.075222492,discuss
35,High,4.0,A,2025-01-01 08:32:23.075222492,consensus
35,High,4.0,A,2025-01-01 08:48:19.075222492,emotion
35,High,4.0,A,2025-01-01 09:06:51.075222492,discuss
36,High,4.0,A,2025-01-01 08:13:59.075222492,discuss
36,High,4.0,A,2025-01-01 08:35:33.075222492,consensus
36,High,4.0,A,2025-01-01 09:00:28.075222492,discuss
37,High,4.0,A,2025-01-01 08:11:08.075222492,discuss
37,High,4.0,A,2025-01-01 08:34:26.075222492,consensus
37,High,4.0,A,2025-01-01 08:54:40.075222492,discuss
37,High,4.0,A,2025-01-01 09:26:37.075222492,consensus
37,High,4.0,A,2025-01-01 09:47:58.075222492,consensus
38,High,4.0,A,2025-01-01 08:24:08.075222492,plan
38,High,4.0,A,2025-01-01 08:43:12.075222492,plan
39,High,4.0,A,2025-01-01 08:10:53.075222492,plan
39,High,4.0,A,2025-01-01 08:23:22.075222492,plan
39,High,4.0,A,2025-01-01 08:44:39.075222492,coregulate
39,High,4.0,A,2025-01-01 09:11:23.075222492,cohesion
40,High,4.0,A,2025-01-01 08:06:31.075222492,consensus
41,High,5.0,A,2025-01-01 09:43:46.821951866,consensus
41,High,5.0,A,2025-01-01 09:57:08.821951866,emotion
41,High,5.0,A,2025-01-01 10:17:27.821951866,coregulate
41,High,5.0,A,2025-01-01 10:32:00.821951866,coregulate
41,High,5.0,A,2025-01-01 10:58:34.821951866,plan
42,High,5.0,A,2025-01-01 09:35:07.821951866,plan
42,High,5.0,A,2025-01-01 09:55:47.821951866,monitor
42,High,5.0,A,2025-01-01 10:19:39.821951866,consensus
42,High,5.0,A,2025-01-01 10:38:15.821951866,consensus
43,High,5.0,A,2025-01-01 09:28:04.821951866,consensus
44,High,5.0,A,2025-01-01 09:43:21.821951866,consensus
44,High,5.0,A,2025-01-01 09:57:31.821951866,plan
44,High,5.0,A,2025-01-01 10:09:57.821951866,plan
45,High,5.0,A,2025-01-01 09:27:21.821951866,consensus
45,High,5.0,A,2025-01-01 09:50:55.821951866,discuss
45,High,5.0,A,2025-01-01 10:14:59.821951866,cohesion
45,High,5.0,A,2025-01-01 10:33:21.821951866,cohesion
45,High,5.0,A,2025-01-01 11:06:05.821951866,emotion
46,High,5.0,A,2025-01-01 09:40:28.821951866,consensus
46,High,5.0,A,2025-01-01 10:04:19.821951866,consensus
47,High,5.0,A,2025-01-01 09:36:28.821951866,coregulate
47,High,5.0,A,2025-01-01 09:56:08.821951866,cohesion
47,High,5.0,A,2025-01-01 10:21:48.821951866,plan
48,High,5.0,A,2025-01-01 09:32:41.821951866,plan
48,High,5.0,A,2025-01-01 09:55:13.821951866,consensus
48,High,5.0,A,2025-01-01 10:15:32.821951866,plan
48,High,5.0,A,2025-01-01 10:34:50.821951866,consensus
48,High,5.0,A,2025-01-01 10:52:40.821951866,consensus
49,High,5.0,A,2025-01-01 09:33:49.821951866,discuss
49,High,5.0,A,2025-01-01 09:48:25.821951866,discuss
50,High,5.0,A,2025-01-01 09:34:58.821951866,plan
50,High,5.0,A,2025-01-01 09:55:13.821951866,plan
50,High,5.0,A,2025-01-01 10:14:52.821951866,consensus
51,High,6.0,A,2025-01-01 09:00:21.647734642,plan
51,High,6.0,A,2025-01-01 09:19:17.647734642,consensus
51,High,6.0,A,2025-01-01 09:40:33.647734642,consensus
52,High,6.0,A,2025-01-01 09:01:01.647734642,consensus
52,High,6.0,A,2025-01-01 09:19:43.647734642,consensus
52,High,6.0,A,2025-01-01 09:38:18.647734642,consensus
52,High,6.0,A,2025-01-01 09:52:49.647734642,coregulate
53,High,6.0,A,2025-01-01 08:59:33.647734642,emotion
53,High,6.0,A,2025-01-01 09:21:07.647734642,discuss
53,High,6.0,A,2025-01-01 09:39:45.647734642,plan
53,High,6.0,A,2025-01-01 10:01:17.647734642,consensus
53,High,6.0,A,2025-01-01 10:18:57.647734642,consensus
54,High,6.0,A,2025-01-01 09:18:47.647734642,consensus
55,High,6.0,A,2025-01-01 09:05:49.647734642,emotion
55,High,6.0,A,2025-01-01 09:30:41.647734642,plan
55,High,6.0,A,2025-01-01 09:58:44.647734642,emotion
57,High,6.0,A,2025-01-01 08:58:53.647734642,consensus
57,High,6.0,A,2025-01-01 09:21:03.647734642,emotion
58,High,6.0,A,2025-01-01 09:20:41.647734642,discuss
58,High,6.0,A,2025-01-01 09:38:36.647734642,monitor
58,High,6.0,A,2025-01-01 10:01:29.647734642,consensus
58,High,6.0,A,2025-01-01 10:33:29.647734642,plan
59,High,6.0,A,2025-01-01 08:58:42.647734642,consensus
59,High,6.0,A,2025-01-01 09:13:56.647734642,consensus
59,High,6.0,A,2025-01-01 09:45:05.647734642,plan
59,High,6.0,A,2025-01-01 10:01:15.647734642,discuss
59,High,6.0,A,2025-01-01 10:08:33.647734642,synthesis
60,High,6.0,A,2025-01-01 09:02:42.647734642,cohesion
62,High,7.0,A,2025-01-01 09:55:58.780689001,consensus
63,High,7.0,A,2025-01-01 10:03:16.780689001,consensus
63,High,7.0,A,2025-01-01 10:26:37.780689001,discuss
63,High,7.0,A,2025-01-01 10:47:00.780689001,plan
63,High,7.0,A,2025-01-01 11:06:30.780689001,coregulate
64,High,7.0,A,2025-01-01 10:02:01.780689001,discuss
65,High,7.0,A,2025-01-01 10:06:27.780689001,plan
66,High,7.0,A,2025-01-01 10:07:31.780689001,discuss
66,High,7.0,A,2025-01-01 10:30:45.780689001,discuss
66,High,7.0,A,2025-01-01 10:47:50.780689001,consensus
66,High,7.0,A,2025-01-01 11:16:51.780689001,plan
67,High,7.0,A,2025-01-01 09:57:27.780689001,plan
67,High,7.0,A,2025-01-01 10:25:25.780689001,consensus
67,High,7.0,A,2025-01-01 10:47:53.780689001,consensus
67,High,7.0,A,2025-01-01 11:09:28.780689001,consensus
67,High,7.0,A,2025-01-01 11:29:27.780689001,consensus
68,High,7.0,A,2025-01-01 09:57:15.780689001,plan
68,High,7.0,A,2025-01-01 10:23:51.780689001,cohesion
68,High,7.0,A,2025-01-01 10:44:01.780689001,plan
69,High,7.0,A,2025-01-01 10:09:32.780689001,discuss
69,High,7.0,A,2025-01-01 10:28:10.780689001,discuss
70,High,7.0,A,2025-01-01 10:00:25.780689001,emotion
71,High,8.0,A,2025-01-01 10:35:26.835391045,consensus
71,High,8.0,A,2025-01-01 10:54:12.835391045,discuss
71,High,8.0,A,2025-01-01 11:18:40.835391045,monitor
71,High,8.0,A,2025-01-01 11:30:59.835391045,synthesis
72,High,8.0,A,2025-01-01 10:43:24.835391045,consensus
72,High,8.0,A,2025-01-01 11:09:45.835391045,plan
72,High,8.0,A,2025-01-01 11:37:48.835391045,cohesion
73,High,8.0,A,2025-01-01 10:31:07.835391045,plan
74,High,8.0,A,2025-01-01 10:24:02.835391045,discuss
74,High,8.0,A,2025-01-01 10:49:42.835391045,plan
74,High,8.0,A,2025-01-01 11:12:32.835391045,monitor
74,High,8.0,A,2025-01-01 11:26:23.835391045,plan
75,High,8.0,A,2025-01-01 10:39:07.835391045,synthesis
76,High,8.0,A,2025-01-01 10:23:18.835391045,cohesion
77,High,8.0,A,2025-01-01 10:29:45.835391045,consensus
77,High,8.0,A,2025-01-01 10:50:45.835391045,discuss
77,High,8.0,A,2025-01-01 11:05:05.835391045,emotion
77,High,8.0,A,2025-01-01 11:27:31.835391045,plan
78,High,8.0,A,2025-01-01 10:36:14.835391045,discuss
79,High,8.0,A,2025-01-01 10:36:29.835391045,plan
79,High,8.0,A,2025-01-01 10:58:13.835391045,coregulate
79,High,8.0,A,2025-01-01 11:18:22.835391045,cohesion
79,High,8.0,A,2025-01-01 11:37:28.835391045,plan
81,High,9.0,A,2025-01-01 09:22:35.006900311,consensus
81,High,9.0,A,2025-01-01 09:41:58.006900311,consensus
82,High,9.0,A,2025-01-01 09:32:36.006900311,discuss
83,High,9.0,A,2025-01-01 09:30:20.006900311,coregulate
83,High,9.0,A,2025-01-01 09:43:09.006900311,discuss
83,High,9.0,A,2025-01-01 09:58:36.006900311,emotion
83,High,9.0,A,2025-01-01 10:17:06.006900311,plan
83,High,9.0,A,2025-01-01 10:36:18.006900311,consensus
84,High,9.0,A,2025-01-01 09:33:16.006900311,cohesion
84,High,9.0,A,2025-01-01 09:54:58.006900311,plan
84,High,9.0,A,2025-01-01 10:13:52.006900311,plan
84,High,9.0,A,2025-01-01 10:31:47.006900311,plan
85,High,9.0,A,2025-01-01 09:28:26.006900311,discuss
85,High,9.0,A,2025-01-01 09:43:57.006900311,consensus
85,High,9.0,A,2025-01-01 10:12:08.006900311,plan
85,High,9.0,A,2025-01-01 10:43:33.006900311,consensus
86,High,9.0,A,2025-01-01 09:26:53.006900311,plan
87,High,9.0,A,2025-01-01 09:31:25.006900311,consensus
87,High,9.0,A,2025-01-01 09:55:28.006900311,coregulate
87,High,9.0,A,2025-01-01 10:10:15.006900311,adapt
87,High,9.0,A,2025-01-01 10:20:09.006900311,plan
88,High,9.0,A,2025-01-01 09:35:21.006900311,discuss
88,High,9.0,A,2025-01-01 09:59:43.006900311,cohesion
88,High,9.0,A,2025-01-01 10:17:24.006900311,consensus
89,High,9.0,A,2025-01-01 09:22:53.006900311,plan
90,High,9.0,A,2025-01-01 09:25:29.006900311,plan
91,High,10.0,A,2025-01-01 10:15:11.258289576,consensus
91,High,10.0,A,2025-01-01 10:30:44.258289576,plan
91,High,10.0,A,2025-01-01 10:49:54.258289576,consensus
92,High,10.0,A,2025-01-01 10:37:44.258289576,consensus
92,High,10.0,A,2025-01-01 11:02:16.258289576,cohesion
92,High,10.0,A,2025-01-01 11:13:33.258289576,discuss
92,High,10.0,A,2025-01-01 11:30:32.258289576,discuss
93,High,10.0,A,2025-01-01 10:28:57.258289576,synthesis
93,High,10.0,A,2025-01-01 10:52:11.258289576,cohesion
93,High,10.0,A,2025-01-01 11:20:49.258289576,discuss
94,High,10.0,A,2025-01-01 10:22:34.258289576,plan
95,High,10.0,A,2025-01-01 10:15:51.258289576,emotion
95,High,10.0,A,2025-01-01 10:29:18.258289576,plan
95,High,10.0,A,2025-01-01 10:35:29.258289576,synthesis
95,High,10.0,A,2025-01-01 10:52:08.258289576,emotion
95,High,10.0,A,2025-01-01 11:15:53.258289576,plan
96,High,10.0,A,2025-01-01 10:31:43.258289576,discuss
96,High,10.0,A,2025-01-01 10:56:12.258289576,discuss
96,High,10.0,A,2025-01-01 11:20:08.258289576,consensus
96,High,10.0,A,2025-01-01 11:31:14.258289576,discuss
96,High,10.0,A,2025-01-01 11:53:41.258289576,emotion
97,High,10.0,A,2025-01-01 10:26:25.258289576,plan
97,High,10.0,A,2025-01-01 10:41:53.258289576,consensus
97,High,10.0,A,2025-01-01 11:10:33.258289576,plan
98,High,10.0,A,2025-01-01 10:12:37.258289576,cohesion
98,High,10.0,A,2025-01-01 10:34:05.258289576,monitor
98,High,10.0,A,2025-01-01 10:53:05.258289576,discuss
98,High,10.0,A,2025-01-01 11:21:53.258289576,consensus
98,High,10.0,A,2025-01-01 11:46:45.258289576,cohesion
99,High,10.0,A,2025-01-01 10:29:36.258289576,emotion
99,High,10.0,A,2025-01-01 10:54:35.258289576,emotion
99,High,10.0,A,2025-01-01 11:24:44.258289576,consensus
99,High,10.0,A,2025-01-01 11:47:32.258289576,cohesion
99,High,10.0,A,2025-01-01 12:08:14.258289576,emotion
101,High,11.0,A,2025-01-01 08:39:41.457253695,discuss
101,High,11.0,A,2025-01-01 08:58:27.457253695,plan
101,High,11.0,A,2025-01-01 09:17:05.457253695,consensus
102,High,11.0,A,2025-01-01 08:38:43.457253695,coregulate
102,High,11.0,A,2025-01-01 08:59:30.457253695,discuss
103,High,11.0,A,2025-01-01 08:35:59.457253695,adapt
105,High,11.0,A,2025-01-01 08:33:06.457253695,consensus
105,High,11.0,A,2025-01-01 08:56:58.457253695,discuss
105,High,11.0,A,2025-01-01 09:16:56.457253695,plan
105,High,11.0,A,2025-01-01 09:36:31.457253695,monitor
105,High,11.0,A,2025-01-01 09:56:20.457253695,consensus
106,High,11.0,A,2025-01-01 08:34:33.457253695,coregulate
106,High,11.0,A,2025-01-01 08:57:59.457253695,coregulate
106,High,11.0,A,2025-01-01 09:23:21.457253695,consensus
106,High,11.0,A,2025-01-01 09:56:19.457253695,plan
106,High,11.0,A,2025-01-01 10:13:41.457253695,adapt
107,High,11.0,A,2025-01-01 08:39:38.457253695,emotion
107,High,11.0,A,2025-01-01 09:02:16.457253695,discuss
107,High,11.0,A,2025-01-01 09:13:24.457253695,plan
108,High,11.0,A,2025-01-01 08:51:56.457253695,monitor
108,High,11.0,A,2025-01-01 09:08:15.457253695,consensus
108,High,11.0,A,2025-01-01 09:43:18.457253695,discuss
109,High,11.0,A,2025-01-01 08:36:03.457253695,consensus
109,High,11.0,A,2025-01-01 08:54:47.457253695,emotion
109,High,11.0,A,2025-01-01 09:16:18.457253695,consensus
110,High,11.0,A,2025-01-01 08:39:48.457253695,plan
110,High,11.0,A,2025-01-01 09:08:58.457253695,plan
110,High,11.0,A,2025-01-01 09:34:55.457253695,plan
111,High,12.0,A,2025-01-01 09:08:58.598423481,consensus
111,High,12.0,A,2025-01-01 09:31:02.598423481,consensus
112,High,12.0,A,2025-01-01 09:14:04.598423481,cohesion
112,High,12.0,A,2025-01-01 09:30:59.598423481,emotion
112,High,12.0,A,2025-01-01 09:51:55.598423481,consensus
112,High,12.0,A,2025-01-01 10:22:15.598423481,consensus
113,High,12.0,A,2025-01-01 09:07:54.598423481,plan
113,High,12.0,A,2025-01-01 09:26:39.598423481,consensus
114,High,12.0,A,2025-01-01 09:07:53.598423481,consensus
114,High,12.0,A,2025-01-01 09:31:05.598423481,consensus
114,High,12.0,A,2025-01-01 09:42:11.598423481,emotion
114,High,12.0,A,2025-01-01 10:06:03.598423481,synthesis
115,High,12.0,A,2025-01-01 09:23:37.598423481,emotion
115,High,12.0,A,2025-01-01 09:37:22.598423481,consensus
115,High,12.0,A,2025-01-01 10:03:55.598423481,coregulate
115,High,12.0,A,2025-01-01 10:27:47.598423481,plan
115,High,12.0,A,2025-01-01 10:47:51.598423481,plan
116,High,12.0,A,2025-01-01 09:13:56.598423481,emotion
116,High,12.0,A,2025-01-01 09:33:24.598423481,plan
116,High,12.0,A,2025-01-01 09:47:03.598423481,emotion
117,High,12.0,A,2025-01-01 09:14:13.598423481,discuss
118,High,12.0,A,2025-01-01 09:16:06.598423481,consensus
118,High,12.0,A,2025-01-01 09:46:32.598423481,consensus
118,High,12.0,A,2025-01-01 10:16:17.598423481,discuss
118,High,12.0,A,2025-01-01 10:29:56.598423481,emotion
119,High,12.0,A,2025-01-01 09:19:23.598423481,consensus
119,High,12.0,A,2025-01-01 09:34:05.598423481,cohesion
119,High,12.0,A,2025-01-01 10:02:51.598423481,consensus
120,High,12.0,A,2025-01-01 09:22:49.598423481,coregulate
120,High,12.0,A,2025-01-01 09:36:15.598423481,consensus
122,High,13.0,A,2025-01-01 08:20:56.385908127,consensus
122,High,13.0,A,2025-01-01 08:46:21.385908127,discuss
123,High,13.0,A,2025-01-01 08:33:28.385908127,coregulate
123,High,13.0,A,2025-01-01 08:59:20.385908127,consensus
124,High,13.0,A,2025-01-01 08:37:38.385908127,consensus
125,High,13.0,A,2025-01-01 08:21:19.385908127,consensus
125,High,13.0,A,2025-01-01 08:43:52.385908127,plan
125,High,13.0,A,2025-01-01 09:06:05.385908127,monitor
125,High,13.0,A,2025-01-01 09:18:45.385908127,coregulate
126,High,13.0,A,2025-01-01 08:18:48.385908127,cohesion
126,High,13.0,A,2025-01-01 08:28:55.385908127,emotion
126,High,13.0,A,2025-01-01 08:45:34.385908127,plan
127,High,13.0,A,2025-01-01 08:28:38.385908127,consensus
127,High,13.0,A,2025-01-01 08:58:44.385908127,cohesion
127,High,13.0,A,2025-01-01 09:26:56.385908127,consensus
127,High,13.0,A,2025-01-01 09:45:41.385908127,emotion
128,High,13.0,A,2025-01-01 08:33:40.385908127,discuss
128,High,13.0,A,2025-01-01 08:52:20.385908127,plan
128,High,13.0,A,2025-01-01 09:17:25.385908127,plan
128,High,13.0,A,2025-01-01 09:27:44.385908127,consensus
128,High,13.0,A,2025-01-01 09:47:55.385908127,cohesion
129,High,13.0,A,2025-01-01 08:23:32.385908127,consensus
129,High,13.0,A,2025-01-01 08:43:31.385908127,plan
130,High,13.0,A,2025-01-01 08:27:32.385908127,emotion
130,High,13.0,A,2025-01-01 08:53:11.385908127,consensus
130,High,13.0,A,2025-01-01 09:08:23.385908127,plan
130,High,13.0,A,2025-01-01 09:32:16.385908127,discuss
131,High,14.0,A,2025-01-01 08:41:26.102453470,plan
131,High,14.0,A,2025-01-01 08:56:52.102453470,plan
132,High,14.0,A,2025-01-01 08:35:35.102453470,plan
132,High,14.0,A,2025-01-01 08:55:50.102453470,monitor
132,High,14.0,A,2025-01-01 09:25:47.102453470,emotion
132,High,14.0,A,2025-01-01 09:42:31.102453470,plan
133,High,14.0,A,2025-01-01 08:32:38.102453470,consensus
134,High,14.0,A,2025-01-01 08:34:59.102453470,discuss
134,High,14.0,A,2025-01-01 08:52:20.102453470,plan
134,High,14.0,A,2025-01-01 09:16:56.102453470,plan
134,High,14.0,A,2025-01-01 09:38:06.102453470,discuss
134,High,14.0,A,2025-01-01 09:53:32.102453470,consensus
135,High,14.0,A,2025-01-01 08:34:58.102453470,plan
135,High,14.0,A,2025-01-01 08:54:06.102453470,coregulate
135,High,14.0,A,2025-01-01 09:13:01.102453470,emotion
135,High,14.0,A,2025-01-01 09:40:37.102453470,consensus
136,High,14.0,A,2025-01-01 08:37:39.102453470,discuss
136,High,14.0,A,2025-01-01 08:54:39.102453470,consensus
136,High,14.0,A,2025-01-01 09:14:00.102453470,discuss
136,High,14.0,A,2025-01-01 09:30:29.102453470,consensus
137,High,14.0,A,2025-01-01 08:45:02.102453470,plan
137,High,14.0,A,2025-01-01 09:04:43.102453470,plan
137,High,14.0,A,2025-01-01 09:29:46.102453470,consensus
138,High,14.0,A,2025-01-01 08:53:30.102453470,coregulate
138,High,14.0,A,2025-01-01 09:14:17.102453470,consensus
138,High,14.0,A,2025-01-01 09:30:39.102453470,consensus
138,High,14.0,A,2025-01-01 09:44:30.102453470,cohesion
138,High,14.0,A,2025-01-01 10:16:04.102453470,consensus
139,High,14.0,A,2025-01-01 08:41:49.102453470,consensus
140,High,14.0,A,2025-01-01 08:34:06.102453470,plan
140,High,14.0,A,2025-01-01 08:56:33.102453470,consensus
140,High,14.0,A,2025-01-01 09:13:48.102453470,emotion
142,High,15.0,A,2025-01-01 09:14:01.892091990,plan
142,High,15.0,A,2025-01-01 09:38:13.892091990,monitor
142,High,15.0,A,2025-01-01 10:04:53.892091990,plan
142,High,15.0,A,2025-01-01 10:21:30.892091990,coregulate
142,High,15.0,A,2025-01-01 10:43:17.892091990,plan
143,High,15.0,A,2025-01-01 09:17:22.892091990,coregulate
143,High,15.0,A,2025-01-01 09:39:58.892091990,discuss
143,High,15.0,A,2025-01-01 09:59:50.892091990,discuss
144,High,15.0,A,2025-01-01 09:21:55.892091990,coregulate
144,High,15.0,A,2025-01-01 09:41:47.892091990,coregulate
145,High,15.0,A,2025-01-01 09:33:27.892091990,coregulate
145,High,15.0,A,2025-01-01 09:51:48.892091990,cohesion
145,High,15.0,A,2025-01-01 10:25:24.892091990,plan
146,High,15.0,A,2025-01-01 09:16:47.892091990,coregulate
146,High,15.0,A,2025-01-01 09:41:33.892091990,consensus
146,High,15.0,A,2025-01-01 10:01:13.892091990,plan
146,High,15.0,A,2025-01-01 10:31:09.892091990,consensus
146,High,15.0,A,2025-01-01 10:50:32.892091990,consensus
147,High,15.0,A,2025-01-01 09:20:46.892091990,consensus
147,High,15.0,A,2025-01-01 09:44:32.892091990,plan
147,High,15.0,A,2025-01-01 09:57:30.892091990,plan
147,High,15.0,A,2025-01-01 10:13:37.892091990,consensus
148,High,15.0,A,2025-01-01 09:38:34.892091990,consensus
148,High,15.0,A,2025-01-01 09:52:25.892091990,consensus
148,High,15.0,A,2025-01-01 10:09:38.892091990,consensus
149,High,15.0,A,2025-01-01 09:15:44.892091990,plan
150,High,15.0,A,2025-01-01 09:24:43.892091990,consensus
150,High,15.0,A,2025-01-01 09:43:21.892091990,plan
152,High,16.0,A,2025-01-01 09:03:30.829495430,monitor
152,High,16.0,A,2025-01-01 09:23:10.829495430,plan
152,High,16.0,A,2025-01-01 09:52:46.829495430,monitor
152,High,16.0,A,2025-01-01 10:06:36.829495430,emotion
153,High,16.0,A,2025-01-01 09:09:18.829495430,synthesis
154,High,16.0,A,2025-01-01 09:19:27.829495430,emotion
154,High,16.0,A,2025-01-01 09:41:41.829495430,emotion
154,High,16.0,A,2025-01-01 10:04:25.829495430,consensus
154,High,16.0,A,2025-01-01 10:33:13.829495430,consensus
155,High,16.0,A,2025-01-01 09:11:22.829495430,consensus
155,High,16.0,A,2025-01-01 09:39:19.829495430,plan
155,High,16.0,A,2025-01-01 09:59:20.829495430,emotion
155,High,16.0,A,2025-01-01 10:24:21.829495430,consensus
155,High,16.0,A,2025-01-01 10:43:04.829495430,discuss
156,High,16.0,A,2025-01-01 09:17:45.829495430,monitor
156,High,16.0,A,2025-01-01 09:35:37.829495430,plan
156,High,16.0,A,2025-01-01 10:02:53.829495430,consensus
157,High,16.0,A,2025-01-01 09:19:23.829495430,consensus
158,High,16.0,A,2025-01-01 09:12:34.829495430,emotion
158,High,16.0,A,2025-01-01 09:37:05.829495430,discuss
159,High,16.0,A,2025-01-01 09:13:59.829495430,plan
159,High,16.0,A,2025-01-01 09:25:31.829495430,consensus
159,High,16.0,A,2025-01-01 09:59:26.829495430,plan
160,High,16.0,A,2025-01-01 09:12:49.829495430,consensus
160,High,16.0,A,2025-01-01 09:34:10.829495430,discuss
161,High,17.0,A,2025-01-01 10:07:07.814800501,consensus
161,High,17.0,A,2025-01-01 10:27:27.814800501,consensus
161,High,17.0,A,2025-01-01 10:48:27.814800501,consensus
161,High,17.0,A,2025-01-01 11:12:07.814800501,coregulate
161,High,17.0,A,2025-01-01 11:38:42.814800501,consensus
162,High,17.0,A,2025-01-01 10:15:05.814800501,discuss
